19,南京工业大学,B01,1,原子簇化学 ( B0115 ) ,层状M-O簇担载Ag+，Cu+新型络合吸附剂的分子调控及其乙烯的吸附选择性研究,30万元,2010年01月01日 至 2012年12月31日,许岩,http://fund.sciencenet.cn/index.php/item/view/252871
23,南京工业大学,B06,1,生化过程的优化与控制 ( B060803 ) ,基于NAD(H)系统改造与调控的产丁二酸大肠杆菌代谢工程研究,35万元,2011年01月01日 至 2013年12月31日,姜岷,http://fund.sciencenet.cn/index.php/item/view/2792
24,南京工业大学,B06,1,相平衡 ( B060102 ) ,设计和制备具有中空纳米结构的硫化物复合物光催化剂,19万元,2011年01月01日 至 2013年12月31日,暴宁钟,http://fund.sciencenet.cn/index.php/item/view/2590
25,南京工业大学,B06,1,生物化工与食品化工 ( B0608 ) ,基于能量ATP调控的生物系统催化的研究及应用,200万元,2011年01月01日 至 2014年12月31日,应汉杰,http://fund.sciencenet.cn/index.php/item/view/2344
26,南京工业大学,B06,1,生物化工与食品化工 ( B0608 ) ,米根霉代谢木糖积累富马酸的细胞能量调控机制,38万元,2011年01月01日 至 2013年12月31日,李霜,http://fund.sciencenet.cn/index.php/item/view/2282
27,南京工业大学,D02,1,工程地质学 ( D0214 ) ,玄武岩纤维土工格栅加筋膨胀土边坡加固机理与稳定性研究,40万元,2011年01月01日 至 2013年12月31日,徐洪钟,http://fund.sciencenet.cn/index.php/item/view/207
10,南京工业大学,B03,8,胶体与界面化学 ( B0305 ) ,微纳米核/壳复合粒子悬浮液的介电弛豫谱研究,19万元,2011年01月01日 至 2013年12月31日,韩明娟,http://fund.sciencenet.cn/index.php/item/view/37362
82,南京工业大学,B02,8,有机分子功能材料化学 ( B0211 ) ,基于聚丁二炔分子的乙酰胆碱酯酶活性传感器及其在酶抑制剂检测中的应用,19万元,2011年01月01日 至 2013年12月31日,陈小强,http://fund.sciencenet.cn/index.php/item/view/37361
8,南京工业大学,E08,9,城乡规划 ( E0802 ) ,基于路径选择的社区级避难生活圈划设与布局模式研究——以地震灾害为例,20万元,2011年01月01日 至 2013年12月31日,王江波,http://fund.sciencenet.cn/index.php/item/view/37372
90,南京工业大学,E03,9,天然高分子材料 ( E031301 ) ,彩棉中关键色素甙元的分离及其与纤维素分子的协同组装结构解析,19万元,2011年01月01日 至 2013年12月31日,郑春玲,http://fund.sciencenet.cn/index.php/item/view/37371
91,南京工业大学,B07,9,土壤污染控制化学 ( B070303 ) ,螯合剂活化典型重金属污染土壤微团聚体重金属的机理研究,18万元,2011年01月01日 至 2013年12月31日,丁竹红,http://fund.sciencenet.cn/index.php/item/view/37370
92,南京工业大学,B06,9,生物化工与食品化工 ( B0608 ) ,ε-聚赖氨酸产生菌中一个新聚合物的代谢途径解析与调控,19万元,2011年01月01日 至 2013年12月31日,冯小海,http://fund.sciencenet.cn/index.php/item/view/37369
93,南京工业大学,B06,9,生物化工与食品化工 ( B0608 ) ,微生物过量合成3-羟基丁酮的辅酶工程及调控机理,25万元,2011年01月01日 至 2013年12月31日,纪晓俊,http://fund.sciencenet.cn/index.php/item/view/37368
