4,安徽师范大学,A05,4,物理学II ( A05 ) ,石墨烯和拓扑绝缘体中奇异的量子现象研究,1.3万元,2011年01月01日 至 2011年12月31日,王大理,http://fund.sciencenet.cn/index.php/item/view/33893
54,安徽师范大学,A01,14,随机微分方程 ( A011003 ) ,由Lévy过程驱动的几类倒向随机微分方程研究,16万元,2010年01月01日 至 2012年12月31日,任永,http://fund.sciencenet.cn/index.php/item/view/241780
55,安徽师范大学,A01,14,解析数论 ( A010101 ) ,加法表示函数中若干问题的研究,16万元,2010年01月01日 至 2012年12月31日,汤敏,http://fund.sciencenet.cn/index.php/item/view/241779
56,安徽师范大学,A04,14,大分子、团簇与特殊原子分子性质 ( A040304 ) ,磁场条件下原子-开壳层分子的冷碰撞动力学理论研究,26万元,2009年01月01日 至 2011年12月31日,凤尔银,http://fund.sciencenet.cn/index.php/item/view/241280
57,安徽师范大学,A05,14,离子束与物质相互作用和辐照损伤 ( A050401 ) ,非线性光学材料电子束辐照损伤机理及实验研究,23万元,2009年01月01日 至 2011年12月31日,石建平,http://fund.sciencenet.cn/index.php/item/view/240586
58,安徽师范大学,A04,14,光学材料中物理问题及固体发光 ( A040410 ) ,从头计算方法研究稀土材料f-f跃迁光谱性质,17万元,2009年01月01日 至 2011年12月31日,宁利新,http://fund.sciencenet.cn/index.php/item/view/240455
107,安徽师范大学,C03,5,生理生态学 ( C0303 ) ,茉莉酸诱导抗虫性的生态效应与植物的适应性代价研究-以常规棉和棉铃虫为例,8万元,2010年01月01日 至 2010年12月31日,杨世勇,http://fund.sciencenet.cn/index.php/item/view/58324
120,安徽师范大学,A01,9,随机分析与随机过程 ( A011002 ) ,反射型倒向随机微分方程及其应用,3万元,2008年01月01日 至 2008年12月31日,任永,http://fund.sciencenet.cn/index.php/item/view/160951
121,安徽师范大学,A01,9,解析数论 ( A010101 ) ,Erdos-Turan猜想及相关数论问题的研究,3万元,2008年01月01日 至 2008年12月31日,汤敏,http://fund.sciencenet.cn/index.php/item/view/160950
7,安徽师范大学,B02,19,金属络合物的合成与反应 ( B020201 ) ,新型二胺稀土配合物的合成及其催化烯烃氢胺化反应研究,37万元,2010年01月01日 至 2012年12月31日,杨高升,http://fund.sciencenet.cn/index.php/item/view/252936
8,安徽师范大学,B05,18,分子荧光与磷光光谱 ( B050303 ) ,量子点尺寸依赖荧光猝灭研究及其分析应用,32万元,2009年01月01日 至 2011年12月31日,朱昌青,http://fund.sciencenet.cn/index.php/item/view/251664
9,安徽师范大学,C03,21,分子与进化生态学 ( C0301 ) ,中国碧翠凤蝶的种群遗传结构及分子系统地理学研究,35万元,2009年01月01日 至 2011年12月31日,吴孝兵,http://fund.sciencenet.cn/index.php/item/view/275124
12,安徽师范大学,B05,17,分析化学 ( B05 ) ,电化学诱导方法定点切割DNA,30万元,2008年01月01日 至 2010年12月31日,杨周生,http://fund.sciencenet.cn/index.php/item/view/250047
40,安徽师范大学,B02,17,有机合成 ( B0201 ) ,有机金属试剂在共轭烯炔类化合物的立体选择性合成中的应用,28万元,2008年01月01日 至 2010年12月31日,谢美华,http://fund.sciencenet.cn/index.php/item/view/249630
41,安徽师范大学,B01,17,无机合成和制备化学 ( B0101 ) ,过渡金属磷化物纳米晶的可控合成和催化性能,30万元,2008年01月01日 至 2010年12月31日,倪永红,http://fund.sciencenet.cn/index.php/item/view/249534
42,安徽师范大学,B05,17,电化学分析 ( B0502 ) ,脂质体为载体的电化学发光免疫分析及其应用,18万元,2008年01月01日 至 2010年12月31日,王海燕,http://fund.sciencenet.cn/index.php/item/view/249247
43,安徽师范大学,B05,17,电化学分析 ( B0502 ) ,四种碳基材料电分析化学性能的比较及应用研究,20万元,2008年01月01日 至 2010年12月31日,高峰,http://fund.sciencenet.cn/index.php/item/view/249246
44,安徽师范大学,B04,17,高分子物理与高分子物理化学 ( B0406 ) ,生物基多臂星状大分子的合成及其相转变行为研究,19万元,2008年01月01日 至 2010年12月31日,罗时忠,http://fund.sciencenet.cn/index.php/item/view/249206
45,安徽师范大学,B03,17,化学动力学 ( B0304 ) ,亚稳激发态卤化氮的产生方法和机理研究,18万元,2008年01月01日 至 2010年12月31日,唐晓闩,http://fund.sciencenet.cn/index.php/item/view/249142
