20,湖南大学,A01,1,数学 ( A01 ) ,2012年全国复分析会议,6万元,2012年01月01日 至 2012年12月31日,蒋月评,http://fund.sciencenet.cn/index.php/item/view/244129
22,湖南大学,F02,1,并行与分布式处理 ( F020304 ) ,大规模异构并行系统的高效能调度理论与方法,280万元,2012年01月01日 至 2016年12月31日,李肯立,http://fund.sciencenet.cn/index.php/item/view/660
23,湖南大学,E07,1,电网络理论 ( E070102 ) ,数模混合信号集成电路电流测试方法及关键技术研究,25万元,2012年01月01日 至 2014年12月31日,朱彦卿,http://fund.sciencenet.cn/index.php/item/view/568
25,湖南大学,A01,1,生物数学 ( A011403 ) ,肿瘤基因表达谱数据分析及应用算法研究,40万元,2012年01月01日 至 2015年12月31日,廖波,http://fund.sciencenet.cn/index.php/item/view/539
26,湖南大学,F01,1,电路故障检测理论与技术 ( F010502 ) ,基于量子技术的模拟电路故障诊断研究,27万元,2012年01月01日 至 2014年12月31日,谭阳红,http://fund.sciencenet.cn/index.php/item/view/438
27,湖南大学,F03,1,网络化系统分析与控制 ( F030103 ) ,基于物联网的高压设备监测与状态评估研究,23万元,2012年01月01日 至 2014年12月31日,黄小庆,http://fund.sciencenet.cn/index.php/item/view/62
16,湖南大学,A02,2,非线性振动及其控制 ( A020204 ) ,基于最优时延反馈混沌化的非线性隔振理论与方法,26万元,2012年01月01日 至 2014年12月31日,周加喜,http://fund.sciencenet.cn/index.php/item/view/5845
17,湖南大学,A01,2,数理逻辑 ( A011501 ) ,描述逻辑及其扩展中的相容性问题和推理算法研究,22万元,2012年01月01日 至 2014年12月31日,周湘南,http://fund.sciencenet.cn/index.php/item/view/5844
28,湖南大学,A01,2,泛函微分方程 ( A010701 ) ,不连续泛函微分方程理论及其应用研究,22万元,2012年01月01日 至 2014年12月31日,郭振远,http://fund.sciencenet.cn/index.php/item/view/5843
33,湖南大学,F03,2,过程与运动体控制 ( F030102 ) ,电动汽车非接触感应充电的智能建模与控制研究,24万元,2012年01月01日 至 2014年12月31日,袁小芳,http://fund.sciencenet.cn/index.php/item/view/1426
34,湖南大学,E02,2,无机非金属类电介质与电解质材料 ( E0210 ) ,正极材料磷酸钒锂/碳的合成及电化学性能研究,62万元,2012年01月01日 至 2015年12月31日,韩绍昌,http://fund.sciencenet.cn/index.php/item/view/1422
35,湖南大学,B05,2,纳米生物化学分析方法 ( B050902 ) ,微流控芯片上介电电泳驱动在线富集和功能化荧光纳米颗粒信号增强的病原菌检测研究,62万元,2012年01月01日 至 2015年12月31日,何晓晓,http://fund.sciencenet.cn/index.php/item/view/1221
15,湖南大学,E06,3,能源利用系统与评价 ( E060103 ) ,天然气基分布式供能与大型公共建筑用能一体化系统研究,25万元,2012年01月01日 至 2014年12月31日,李洪强,http://fund.sciencenet.cn/index.php/item/view/5859
36,湖南大学,E05,3,机械结构与系统动力学 ( E050303 ) ,基于胎压与胎体弹性关联影响的爆胎轮胎非稳态模型研究,25万元,2012年01月01日 至 2014年12月31日,黄江,http://fund.sciencenet.cn/index.php/item/view/5858
37,湖南大学,E02,3,新型碳功能材料 ( E020603 ) ,淫羊藿苷缓释涂层修饰的三维多孔碳支架材料对成骨细胞调控机理的研究,25万元,2012年01月01日 至 2014年12月31日,刘海蓉,http://fund.sciencenet.cn/index.php/item/view/5857
38,湖南大学,E02,3,高性能碳素材料 ( E020601 ) ,特种炭质滑动电接触材料载流磨损的微结构表征及抗磨机理研究,25万元,2012年01月01日 至 2014年12月31日,涂川俊,http://fund.sciencenet.cn/index.php/item/view/5856
39,湖南大学,B03,3,仿生催化 ( B030303 ) ,纳米金属氧化物@[二氧化硅-金属卟啉]核壳催化剂的制备及其协同催化机理的研究,25万元,2012年01月01日 至 2014年12月31日,刘志刚,http://fund.sciencenet.cn/index.php/item/view/5852
40,湖南大学,A04,3,凝聚态物性II：电子结构、电学、磁学和光学性质 ( A0402 ) ,稀土掺杂同轴纳米电缆的控制合成技术与可调光学性能研究,25万元,2012年01月01日 至 2014年12月31日,杨雷,http://fund.sciencenet.cn/index.php/item/view/5850
41,湖南大学,A02,3,计算固体力学 ( A020317 ) ,新型光滑三角形壳元研究及其在汽车碰撞问题中的应用,25万元,2012年01月01日 至 2014年12月31日,郑刚,http://fund.sciencenet.cn/index.php/item/view/5849
