22,西安电子科技大学,F01,1,通信网络与通信系统安全 ( F010103 ) ,认知无线网络中基于认知循环的双重信任管理机制研究,60万元,2012年01月01日 至 2015年12月31日,裴庆祺,http://fund.sciencenet.cn/index.php/item/view/1041
24,西安电子科技大学,F01,1,智能信息处理 ( F010406 ) ,基于增强型生物启发模型的水印图像质量评价,25万元,2012年01月01日 至 2014年12月31日,邓成,http://fund.sciencenet.cn/index.php/item/view/1022
27,西安电子科技大学,E05,1,机构运动学与动力学 ( E050102 ) ,大型索牵引并联机器人的振动分析与控制研究,26万元,2012年01月01日 至 2014年12月31日,杜敬利,http://fund.sciencenet.cn/index.php/item/view/187
33,西安电子科技大学,G03,1,区域发展战略管理 ( G031301 ) ,基于空间分布特征的区域交通与经济发展匹配测度研究,19万元,2012年01月01日 至 2014年12月31日,于江霞,http://fund.sciencenet.cn/index.php/item/view/882
11,西安电子科技大学,F01,2,计算电磁学 ( F010602 ) ,微波毫米波LTCC集成电路和天线的电磁快速分析方法及应用研究,24万元,2012年01月01日 至 2014年12月31日,李磊,http://fund.sciencenet.cn/index.php/item/view/4195
20,西安电子科技大学,F01,2,电磁场与波 ( F0106 ) ,超宽带电磁时域翻转关键问题研究,24万元,2012年01月01日 至 2014年12月31日,翟会清,http://fund.sciencenet.cn/index.php/item/view/4194
21,西安电子科技大学,F02,2,密码学 ( F020701 ) ,基于非线性部件的广义自缩生成器的新型设计与分析,20万元,2012年01月01日 至 2014年12月31日,董丽华,http://fund.sciencenet.cn/index.php/item/view/4187
23,西安电子科技大学,F02,2,安全体系结构与协议 ( F020702 ) ,无线体域网(WBAN)中的新型“绿色”认证协议研究,24万元,2012年01月01日 至 2014年12月31日,刘景伟,http://fund.sciencenet.cn/index.php/item/view/4186
25,西安电子科技大学,F02,2,模式识别理论及应用 ( F020508 ) ,基于概率图模型的数据降维算法研究,22万元,2012年01月01日 至 2014年12月31日,王秀美,http://fund.sciencenet.cn/index.php/item/view/4185
26,西安电子科技大学,F02,2,生物信息计算 ( F020504 ) ,动态生物分子网络演化模式挖掘算法研究,24万元,2012年01月01日 至 2014年12月31日,覃桂敏,http://fund.sciencenet.cn/index.php/item/view/4184
28,西安电子科技大学,F02,2,计算机图像与视频处理 ( F020502 ) ,结构稀疏表示理论和数字影像质量提高方法研究,25万元,2012年01月01日 至 2014年12月31日,董伟生,http://fund.sciencenet.cn/index.php/item/view/4183
29,西安电子科技大学,F02,2,计算机应用技术 ( F0205 ) ,最优化异构无线网络选择模型及QoS的预测方法研究,24万元,2012年01月01日 至 2014年12月31日,沈玉龙,http://fund.sciencenet.cn/index.php/item/view/4182
10,西安电子科技大学,F01,3,探测与成像系统 ( F010404 ) ,基于稀疏采样的合成孔径雷达地面运动目标检测方法研究,27万元,2012年01月01日 至 2014年12月31日,朱圣棋,http://fund.sciencenet.cn/index.php/item/view/4212
35,西安电子科技大学,F01,3,图像理解与识别 ( F010402 ) ,独立分量分析算法研究及其在SAR图像分割中的应用,23万元,2012年01月01日 至 2014年12月31日,纪建,http://fund.sciencenet.cn/index.php/item/view/4211
36,西安电子科技大学,F01,3,雷达信号处理 ( F010304 ) ,基于参数化电磁散射模型的SAR目标成像技术,28万元,2012年01月01日 至 2014年12月31日,梁毅,http://fund.sciencenet.cn/index.php/item/view/4210
37,西安电子科技大学,F01,3,无线通信理论与技术 ( F010202 ) ,基于网络编码的大型无线网络资源保障机制,25万元,2012年01月01日 至 2014年12月31日,侯蓉晖,http://fund.sciencenet.cn/index.php/item/view/4202
38,西安电子科技大学,F01,3,雷达信号处理 ( F010304 ) ,利用多发多收体制提高高速运动双基雷达动目标检测性能的理论和方法研究,22万元,2012年01月01日 至 2014年12月31日,吴建新,http://fund.sciencenet.cn/index.php/item/view/4207
39,西安电子科技大学,F01,3,计算机通信理论与系统 ( F010206 ) ,基于结构化P2P的匿名通信技术研究,20万元,2012年01月01日 至 2014年12月31日,李龙海,http://fund.sciencenet.cn/index.php/item/view/4201
40,西安电子科技大学,F01,3,无线通信理论与技术 ( F010202 ) ,基于网络编码和有限反馈的协作中继技术研究,24万元,2012年01月01日 至 2014年12月31日,李靖,http://fund.sciencenet.cn/index.php/item/view/4203
52,西安电子科技大学,F01,3,无线通信理论与技术 ( F010202 ) ,TDD MIMO信道互易性问题研究,25万元,2012年01月01日 至 2014年12月31日,刘祖军,http://fund.sciencenet.cn/index.php/item/view/4204
54,西安电子科技大学,F01,3,雷达信号处理 ( F010304 ) ,机载毫米波雷达旋转合成孔径成像处理方法研究,25万元,2012年01月01日 至 2014年12月31日,徐青,http://fund.sciencenet.cn/index.php/item/view/4208
