29,南开大学,B01,1,物理无机化学 ( B0106 ) ,第六届全国物理无机化学学术会议,4万元,2012年01月01日 至 2012年12月31日,卜显和,http://fund.sciencenet.cn/index.php/item/view/254039
39,南开大学,J01,2, ( J0106 ) ,南开大学生物学基地人才培养支撑条件建设项目,200万元,2014年01月01日 至 2017年12月31日,刘方,http://fund.sciencenet.cn/index.php/item/view/209330
51,南开大学,B07,3,水污染化学 ( B070202 ) ,贝壳对水环境中典型污染物的生物监测作用及贝壳仿生矿化被动采样器设计研究,60万元,2012年01月01日 至 2015年12月31日,汪磊,http://fund.sciencenet.cn/index.php/item/view/240
52,南开大学,C02,3,植物胚胎发生 ( C020502 ) ,miRNA对花椰菜小孢子胚胎发生发育的调控机制研究,25万元,2012年01月01日 至 2014年12月31日,王春国,http://fund.sciencenet.cn/index.php/item/view/1252
53,南开大学,E03,3,载体与缓释材料 ( E031002 ) ,新型葡萄糖环境刺激响应性纳米高分子药物载体的设计、合成及应用研究,60万元,2012年01月01日 至 2015年12月31日,李朝兴,http://fund.sciencenet.cn/index.php/item/view/199
13,南开大学,A01,4,随机微分方程 ( A011003 ) ,几类噪声驱动的SPDE及其应用,22万元,2012年01月01日 至 2014年12月31日,江一鸣,http://fund.sciencenet.cn/index.php/item/view/7760
54,南开大学,A01,4,马氏过程与遍历论 ( A011001 ) ,李群上的随机游动与Levy过程及应用,22万元,2012年01月01日 至 2014年12月31日,王龙敏,http://fund.sciencenet.cn/index.php/item/view/7759
55,南开大学,A01,4,整体微分几何 ( A010301 ) ,解析挠率的研究,20万元,2012年01月01日 至 2014年12月31日,苏广想,http://fund.sciencenet.cn/index.php/item/view/7758
12,南开大学,B01,5,分子磁体 ( B010604 ) ,新型2p-3d-4f杂自旋类单分子磁体的设计合成与性质研究,27万元,2012年01月01日 至 2014年12月31日,马越,http://fund.sciencenet.cn/index.php/item/view/7770
63,南开大学,A05,5,等离子体物理 ( A0506 ) ,反场箍缩等离子体中漂移波不稳定性的理论研究,28万元,2012年01月01日 至 2014年12月31日,刘松芬,http://fund.sciencenet.cn/index.php/item/view/7769
64,南开大学,A05,5,粒子物理与核物理实验方法与技术 ( A0505 ) ,基于Geant4的低本底实验模拟平台的开发及其在中国暗物质探测实验中的应用研究,25万元,2012年01月01日 至 2014年12月31日,徐音,http://fund.sciencenet.cn/index.php/item/view/7768
65,南开大学,A04,5,光学在生命科学中的应用 ( A040413 ) ,基于精确测量的有屈光手术史人眼角膜屈光度的确定及人工晶体度数计算的研究,24万元,2012年01月01日 至 2014年12月31日,刘永基,http://fund.sciencenet.cn/index.php/item/view/7767
66,南开大学,A04,5,强关联电子系统 ( A040202 ) ,关联的狄拉克费米子体系中新奇的量子态及掺杂效应研究,26万元,2012年01月01日 至 2014年12月31日,王维华,http://fund.sciencenet.cn/index.php/item/view/7766
67,南开大学,A01,5,代数组合与组合矩阵论 ( A011603 ) ,多项式的对数凹性和组合拓扑性质,22万元,2012年01月01日 至 2014年12月31日,王星炜,http://fund.sciencenet.cn/index.php/item/view/7765
68,南开大学,A01,5,生物数学 ( A011403 ) ,蛋白质结构进化研究,20万元,2012年01月01日 至 2014年12月31日,胡刚,http://fund.sciencenet.cn/index.php/item/view/7763
69,南开大学,A01,5,经济数学与金融数学 ( A011402 ) ,随机保险的风险管理与投资分红策略优化的研究,22万元,2012年01月01日 至 2014年12月31日,宋敏,http://fund.sciencenet.cn/index.php/item/view/7762
70,南开大学,A01,5,数理统计 ( A0111 ) ,试验设计某些新问题的研究,22万元,2012年01月01日 至 2014年12月31日,杨建峰,http://fund.sciencenet.cn/index.php/item/view/7761
85,南开大学,A01,5,代数组合与组合矩阵论 ( A011603 ) ,基本超几何恒等式和模等式的机器证明,22万元,2012年01月01日 至 2014年12月31日,孙慧,http://fund.sciencenet.cn/index.php/item/view/7764
11,南开大学,B07,6,污染生态化学 ( B0704 ) ,丰源新3号大白菜低积累镉的主要根际和分子机理,26万元,2012年01月01日 至 2014年12月31日,刘维涛,http://fund.sciencenet.cn/index.php/item/view/7780
71,南开大学,B07,6,环境污染化学 ( B0702 ) ,衍生化碳纳米管吸附有机污染物的行为及机制,25万元,2012年01月01日 至 2014年12月31日,段林,http://fund.sciencenet.cn/index.php/item/view/7779
72,南开大学,B04,6,生物活性高分子 ( B040304 ) ,聚乙二醇修饰抗菌多肽的自组装行为与生物活性研究,25万元,2012年01月01日 至 2014年12月31日,张更辉,http://fund.sciencenet.cn/index.php/item/view/7778
73,南开大学,B04,6,吸附与分离功能高分子 ( B040301 ) ,"磷酸化肽配体的设计,合成及相互作用研究",24万元,2012年01月01日 至 2014年12月31日,张赛晖,http://fund.sciencenet.cn/index.php/item/view/7777
74,南开大学,B02,6,农用化学品化学 ( B020901 ) ,吡啶并嘧啶酮和吡啶并嘧啶二酮类化合物的合成与生物活性研究,25万元,2012年01月01日 至 2014年12月31日,李华斌,http://fund.sciencenet.cn/index.php/item/view/7775
75,南开大学,B02,6,农用化学品化学 ( B020901 ) ,基于磺酰脲受体与配体相互作用的新结构苯甲酰脲类昆虫生长调节剂的设计合成、构效关系及作用机制研究,25万元,2012年01月01日 至 2014年12月31日,李永强,http://fund.sciencenet.cn/index.php/item/view/7774
76,南开大学,B02,6,糖化学 ( B020704 ) ,糖缀物合成新方法及药用蛋白糖基化新方法研究,25万元,2012年01月01日 至 2014年12月31日,王欣,http://fund.sciencenet.cn/index.php/item/view/7773
77,南开大学,B02,6,有机超分子与聚集体化学 ( B020506 ) ,基于click反应的新型桥式双环糊精合成及其分子键合行为研究,25万元,2012年01月01日 至 2014年12月31日,张瀛溟,http://fund.sciencenet.cn/index.php/item/view/7772
79,南开大学,B03,6,理论和计算化学 ( B0302 ) ,几类环状分子与富勒烯形成超分子体系的量子化学和分子动力学研究,25万元,2012年01月01日 至 2014年12月31日,许秀芳,http://fund.sciencenet.cn/index.php/item/view/7776
86,南开大学,B02,6,物理有机化学 ( B0205 ) ,苯并呋喃酮类抗氧化剂热力学动力学和机理研究,25万元,2012年01月01日 至 2014年12月31日,梅连瑞,http://fund.sciencenet.cn/index.php/item/view/7771
10,南开大学,F02,7,网络安全 ( F020805 ) ,面向高速网络监控的并行频繁项挖掘及GPU优化关键技术研究,24万元,2012年01月01日 至 2014年12月31日,张玉,http://fund.sciencenet.cn/index.php/item/view/7790
78,南开大学,F01,7,通信理论与系统 ( F0102 ) ,基于随机几何及随机几何图的无线网络干扰管理,28万元,2012年01月01日 至 2014年12月31日,章辉,http://fund.sciencenet.cn/index.php/item/view/7789
80,南开大学,F01,7,超导电子学 ( F010703 ) ,约瑟夫森结阵列的相位锁定和时空混沌特性研究,20万元,2012年01月01日 至 2014年12月31日,张旭,http://fund.sciencenet.cn/index.php/item/view/7788
81,南开大学,E03,7,有机无机复合功能材料 ( E030905 ) ,铁电液晶/多壁碳纳米管复合薄膜材料的制备与光电性能研究,25万元,2012年01月01日 至 2014年12月31日,张育英,http://fund.sciencenet.cn/index.php/item/view/7787
82,南开大学,E02,7,界面物理与界面化学 ( E020803 ) ,磷/碳复合材料的构筑和电化学性能,25万元,2012年01月01日 至 2014年12月31日,王永龙,http://fund.sciencenet.cn/index.php/item/view/7786
83,南开大学,E01,7,金属磁性材料 ( E010501 ) ,新型四氧化三铁/有机半导体/金属复合薄膜自旋相关输运性质研究,25万元,2012年01月01日 至 2014年12月31日,程雅慧,http://fund.sciencenet.cn/index.php/item/view/7785
84,南开大学,C20,7,食品检验学 ( C200103 ) ,偶氮类合成色素的抗体制备及其在食品中残留的快速免疫检测方法的建立,18万元,2012年01月01日 至 2014年12月31日,孟萌,http://fund.sciencenet.cn/index.php/item/view/7784
87,南开大学,C05,7,生物大分子空间结构测定 ( C050102 ) ,SATB1 N-端结构域多聚化的分子基础和功能研究,23万元,2012年01月01日 至 2014年12月31日,周浩,http://fund.sciencenet.cn/index.php/item/view/7782
88,南开大学,C05,7,糖生物学 ( C050204 ) ,细菌脂多糖生物合成途径及关键酶性质研究,20万元,2012年01月01日 至 2014年12月31日,李磊,http://fund.sciencenet.cn/index.php/item/view/7783
89,南开大学,B07,7,污染物的生态毒性和毒理 ( B070403 ) ,利用微生物燃料电池研究典型复合污染对根际微生物的生态毒理效应,25万元,2012年01月01日 至 2014年12月31日,王鑫,http://fund.sciencenet.cn/index.php/item/view/7781
9,南开大学,G02,8,创业与中小企业管理 ( G0215 ) ,创业者人力资本对新企业绩效作用过程中的创业学习机制研究,22万元,2012年01月01日 至 2014年12月31日,王晓文,http://fund.sciencenet.cn/index.php/item/view/7800
90,南开大学,G02,8,物流与供应链管理 ( G0212 ) ,基于产品线的委托设计与制造外包模式的研究,18.5万元,2012年01月01日 至 2014年12月31日,山峻,http://fund.sciencenet.cn/index.php/item/view/7799
91,南开大学,G02,8,市场营销 ( G0208 ) ,“社会关系- - 市场资产”的转化机制及二者的整合效应研究,20万元,2012年01月01日 至 2014年12月31日,张峰,http://fund.sciencenet.cn/index.php/item/view/7798
92,南开大学,G02,8,人力资源管理 ( G0205 ) ,成员偏好结构、信念特征与团队激励——基于行为视角和实验方法的研究,22万元,2012年01月01日 至 2014年12月31日,李晓义,http://fund.sciencenet.cn/index.php/item/view/7797
93,南开大学,G01,8,数量经济理论与方法 ( G0113 ) ,稳健季节调整的信号提取理论与应用研究,20万元,2012年01月01日 至 2014年12月31日,王群勇,http://fund.sciencenet.cn/index.php/item/view/7796
94,南开大学,F05,8,非线性光学材料 ( F050902 ) ,锂在铌酸锂晶体中的扩散行为及其应用研究,30万元,2012年01月01日 至 2014年12月31日,孙军,http://fund.sciencenet.cn/index.php/item/view/7795
95,南开大学,F05,8,微小光学器件与系统 ( F050805 ) ,基于偶氮聚合物光场吸收调制的超分辨微加工技术基础研究,30万元,2012年01月01日 至 2014年12月31日,赵星,http://fund.sciencenet.cn/index.php/item/view/7794
96,南开大学,F03,8,微型机器人与特种机器人 ( F030604 ) ,基于微操作机器人的细胞核移植自动化视觉反馈控制研究,25万元,2012年01月01日 至 2014年12月31日,孙明竹,http://fund.sciencenet.cn/index.php/item/view/7793
97,南开大学,F03,8,机器人导航、定位与控制 ( F030602 ) ,基于自主漂移技术的高机动轮式机器人极限性能研究,24万元,2012年01月01日 至 2014年12月31日,王鸿鹏,http://fund.sciencenet.cn/index.php/item/view/7792
98,南开大学,F03,8,数据挖掘与机器学习 ( F030504 ) ,基于深度学习的结构化预测模型研究,24万元,2012年01月01日 至 2014年12月31日,刘杰,http://fund.sciencenet.cn/index.php/item/view/7791
7,南开大学,H16,9,肿瘤复发与转移 ( H1606 ) ,LMO2调控前列腺癌恶化和转移相关的信号通路与蛋白质组学研究,25万元,2012年01月01日 至 2014年12月31日,高杨,http://fund.sciencenet.cn/index.php/item/view/7810
107,南开大学,H19,9,病毒、病毒感染与宿主免疫 ( H1904 ) ,HIV-1中国流行株多靶位RNAi基因治疗研究,22万元,2012年01月01日 至 2014年12月31日,刘畅,http://fund.sciencenet.cn/index.php/item/view/7809
108,南开大学,G03,9,区域发展管理 ( G0313 ) ,基于“生态效率-生态全要素生产率”视角的中国区域经济增长效率与提升路径研究,21万元,2012年01月01日 至 2014年12月31日,李兰冰,http://fund.sciencenet.cn/index.php/item/view/7808
109,南开大学,G03,9,环境政策与生态管理 ( G031202 ) ,基于空间及行业碳排放差异的我国多层次配额型碳交易市场构建研究,21万元,2012年01月01日 至 2014年12月31日,高丽洁,http://fund.sciencenet.cn/index.php/item/view/7807
110,南开大学,G03,9,劳动就业与社会保障 ( G0311 ) ,城市化与收入分配：基于同生群效应的分析与预测,19万元,2012年01月01日 至 2014年12月31日,韩军,http://fund.sciencenet.cn/index.php/item/view/7806
111,南开大学,G03,9,金融管理与政策 ( G0302 ) ,基于DSGE模型的保险业结构与经济增长关系的数量分析,21万元,2012年01月01日 至 2014年12月31日,邵全权,http://fund.sciencenet.cn/index.php/item/view/7804
112,南开大学,G03,9,科技创新管理 ( G030703 ) ,中国企业技术创新激励的缺失与重构：基于产权与资源分配体制市场化改革的研究,19万元,2012年01月01日 至 2014年12月31日,张宇,http://fund.sciencenet.cn/index.php/item/view/7805
113,南开大学,G03,9,宏观经济管理与战略 ( G0301 ) ,短视认知偏差、偏好动态不一致与地方政府投资中的冲动或拖延：机制分析与管理建议,19万元,2012年01月01日 至 2014年12月31日,那艺,http://fund.sciencenet.cn/index.php/item/view/7803
115,南开大学,G02,9,创业管理 ( G021501 ) ,基于初始条件的新创企业组织烙印机制研究,20万元,2012年01月01日 至 2014年12月31日,田莉,http://fund.sciencenet.cn/index.php/item/view/7802
116,南开大学,G02,9,创业管理 ( G021501 ) ,技术创业企业新产品开发的绩效提升机制研究,21万元,2012年01月01日 至 2014年12月31日,秦剑,http://fund.sciencenet.cn/index.php/item/view/7801
8,南开大学,G03,10,宏观经济管理与战略 ( G0301 ) ,国内市场分割、地理集聚与中国出口企业的生产率悖论,21万元,2012年01月01日 至 2014年12月31日,包群,http://fund.sciencenet.cn/index.php/item/view/7833
99,南开大学,G02,10,质量管理 ( G020902 ) ,基于空间变换的复杂耦合制造过程质量监控与异常诊断算法研究,17万元,2012年01月01日 至 2014年12月31日,车建国,http://fund.sciencenet.cn/index.php/item/view/7832
100,南开大学,E01,10,新型金属功能材料 ( E010503 ) ,镍基纳米材料的制备及催化硼氢化物储氢性能研究,28万元,2012年01月01日 至 2014年12月31日,程方益,http://fund.sciencenet.cn/index.php/item/view/7828
101,南开大学,A01,10,算子理论与算子代数 ( A010602 ) ,p-张量积和p-完全有界算子的讨论,23万元,2012年01月01日 至 2014年12月31日,安桂梅,http://fund.sciencenet.cn/index.php/item/view/7821
102,南开大学,H28,10,中药心脑血管药理 ( H2809 ) ,基于PPAR通路调节的中药补气作用改善心肌缺血机制研究,20万元,2012年01月01日 至 2014年12月31日,姜民,http://fund.sciencenet.cn/index.php/item/view/7818
103,南开大学,H31,10,心脑血管药物药理 ( H3102 ) ,CpG ODN对病理性心肌肥大的改善作用及其分子机制研究,25万元,2012年01月01日 至 2014年12月31日,杨亮,http://fund.sciencenet.cn/index.php/item/view/7815
104,南开大学,H30,10,药物设计与药物信息 ( H3007 ) ,基于酪氨酸磷酸化酶PTP-1B的II型糖尿病药物设计,25万元,2012年01月01日 至 2014年12月31日,周红刚,http://fund.sciencenet.cn/index.php/item/view/7814
