node,community
1,1
10,1
100,6
101,1
102,7
103,9
104,7
105,3
106,7
107,5
108,1
109,6
11,5
110,6
111,4
112,8
113,9
114,6
115,8
116,3
12,2
13,7
14,7
15,7
16,3
17,7
18,1
19,1
2,1
20,1
21,4
22,3
23,7
24,8
25,1
26,1
27,2
28,3
29,1
3,2
30,3
31,7
32,7
33,4
34,8
35,7
36,1
37,7
38,1
39,7
4,2
40,9
41,2
42,1
43,9
44,1
45,9
46,7
47,3
48,9
49,3
5,2
50,1
51,1
52,9
53,7
54,7
55,9
56,7
57,4
58,1
59,7
6,1
60,1
61,7
62,5
63,7
64,3
65,1
66,9
67,7
68,7
69,1
7,1
70,3
71,3
72,8
73,3
74,5
75,1
76,8
77,5
78,9
79,9
8,2
80,1
81,0
82,6
83,6
84,9
85,6
86,7
87,5
88,3
89,5
9,4
90,7
91,6
92,8
93,7
94,3
95,5
96,6
97,9
98,6
99,9
