id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
1,38,29,0,23,18,6,0,5,24,17,30,9,50,26,33,11,9,10,16,13,7,6,14,15,4,0,42,40,31,4,14,6,8,8,23,10,2,2,3,3,0,25,28,26,0,55,30,22,35,5,26,58,37,11,38,19,27,28,9,5,6,5,1,3,4,5,12,11,1,4,0,3,3,38,0,6,12,0,0,0,0,0,0,6,0,3,1,6,15,2,0,0,0,0,1,0,0,0,0,0,0,6
2,51,35,13,49,64,1,0,30,47,43,20,32,0,15,10,22,7,4,42,11,25,15,45,5,12,0,1,2,0,2,0,0,0,0,66,57,6,26,24,5,0,0,16,15,2,2,1,0,2,2,31,46,21,35,12,14,24,28,11,35,6,9,15,10,6,6,26,21,3,12,1,28,5,64,0,5,5,0,0,1,0,0,4,20,3,12,5,13,7,8,0,0,0,0,0,0,0,0,0,0,0,11
3,33,0,24,95,7,1,0,30,9,27,18,26,2,21,2,2,9,1,6,3,10,2,4,0,2,1,2,0,0,0,1,0,0,0,35,56,25,3,25,7,0,4,22,9,1,0,0,1,6,0,11,28,5,17,8,12,21,8,0,2,1,2,0,2,2,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,4,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,5
4,31,41,14,54,67,7,0,14,15,32,19,8,5,3,0,1,0,3,11,4,5,6,9,1,0,0,0,0,1,1,0,0,0,0,0,9,27,25,10,8,0,0,26,14,1,7,22,0,6,0,18,21,9,4,7,9,1,1,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1
5,47,78,8,42,60,11,0,12,19,18,14,19,28,19,4,7,1,3,23,7,16,1,2,10,1,0,1,0,0,0,0,0,3,0,4,7,2,3,1,2,0,28,52,24,11,83,62,44,67,56,64,106,63,32,28,37,49,36,0,3,0,0,0,0,4,0,3,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,11
6,41,9,0,60,21,5,0,16,8,38,32,22,0,7,15,8,7,2,37,19,13,3,25,6,9,2,0,0,0,0,0,0,0,0,7,0,1,0,3,0,0,2,4,14,0,0,0,3,1,0,18,39,7,30,20,19,25,22,5,8,5,9,10,8,7,1,22,17,5,8,8,0,4,52,2,14,6,0,0,2,0,0,0,21,5,3,4,17,3,3,0,0,0,0,0,0,0,0,0,0,0,4
7,45,49,4,25,21,2,0,5,8,5,18,5,13,17,12,4,0,3,17,15,11,7,3,17,6,0,4,1,1,3,4,3,0,0,0,1,0,1,0,3,0,34,12,13,7,72,50,10,20,18,49,46,58,5,17,33,24,24,3,19,15,5,6,14,25,33,28,25,2,4,2,15,15,65,1,15,8,1,0,0,0,0,0,5,5,5,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,4
8,40,2,0,6,19,0,0,15,59,17,27,12,1,11,21,4,3,11,5,1,3,1,1,6,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,5,9,1,0,2,0,1,1,4,3,10,5,22,6,26,9,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
9,1,7,0,0,0,0,0,1,6,0,0,1,6,3,14,23,7,12,2,3,11,0,0,0,1,1,45,29,40,3,42,39,2,24,20,0,3,0,2,0,0,0,0,0,0,0,2,0,0,15,1,1,2,0,0,4,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,24,5,0,19,5,1,0,17,8,9,8,10,2,2,10,10,11,16,8,6,6,5,13,6,4,0,3,6,0,0,2,0,15,0,25,6,6,1,8,9,0,1,16,12,0,0,2,0,4,8,9,37,8,3,10,5,18,7,1,11,7,6,3,5,6,7,12,14,0,31,1,6,1,64,0,9,9,2,0,1,3,0,0,13,4,5,3,4,11,3,0,0,0,0,3,0,0,0,0,0,0,2
11,12,0,0,6,2,0,0,0,3,7,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,8,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,39,2,10,25,18,2,0,13,10,12,3,6,1,5,0,8,16,11,6,1,9,0,17,0,1,0,1,0,0,1,0,0,1,0,74,5,1,0,1,0,0,0,0,4,0,0,0,0,2,5,6,2,4,0,1,5,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3
13,15,58,2,4,18,2,0,4,9,17,8,2,27,13,1,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,0,14,7,2,2,32,15,11,34,37,8,13,14,4,5,19,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
