id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
1,60,39,0,35,20,3,2,4,37,26,49,18,77,25,36,13,14,7,16,7,17,6,23,24,9,9,43,42,44,3,27,18,13,18,39,10,7,6,4,11,2,27,41,38,1,62,40,27,65,20,66,90,53,16,39,18,30,47,15,23,17,22,11,7,7,12,21,16,9,11,2,11,2,102,0,14,14,0,0,1,0,0,3,20,3,6,11,32,38,4,0,0,1,0,0,0,0,0,0,0,0,1
2,47,38,13,40,48,2,1,22,52,34,15,20,0,17,10,19,8,2,23,22,25,9,34,6,22,6,1,0,0,2,0,0,0,0,53,48,8,22,15,1,0,4,15,7,2,2,7,0,5,3,30,63,29,30,17,3,29,22,6,36,5,15,8,12,13,5,37,14,1,7,2,27,2,59,0,11,8,0,0,1,0,0,4,20,1,8,7,12,14,4,0,0,0,0,0,0,0,0,0,0,0,1
3,58,0,27,120,11,1,4,34,17,34,20,40,5,26,4,8,14,1,8,7,18,3,5,0,2,8,0,0,1,0,0,0,0,1,55,71,27,2,35,8,0,8,20,5,0,0,1,1,15,0,11,42,8,24,12,17,44,10,1,5,2,7,2,2,7,0,5,7,0,0,1,3,0,10,0,2,2,0,0,0,0,0,1,2,0,6,0,10,12,4,0,0,0,0,0,0,0,0,0,0,0,0
4,34,32,7,54,69,6,13,12,15,25,19,3,1,1,1,3,0,1,13,5,4,5,12,1,3,0,0,0,1,1,0,0,0,0,0,3,20,21,10,3,0,2,16,16,5,11,21,0,11,0,13,30,24,3,3,10,4,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,40,63,3,30,61,9,2,12,18,20,13,13,39,16,4,8,1,1,16,7,14,3,1,7,1,7,0,2,0,0,0,0,1,0,12,4,2,5,2,1,0,17,48,22,4,63,39,45,77,38,54,109,47,23,30,32,42,33,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0
6,55,9,0,63,21,3,3,19,28,45,46,20,2,13,10,10,7,3,41,32,22,10,45,3,14,12,3,0,1,1,0,3,0,0,11,0,0,0,13,3,0,12,6,18,0,0,0,0,5,0,17,44,14,34,19,26,38,31,13,32,17,29,24,16,15,2,49,20,10,17,18,1,5,127,1,13,22,1,0,5,1,0,0,31,5,8,12,32,12,4,0,0,0,0,0,0,0,0,0,0,0,1
7,50,60,5,41,20,1,1,11,14,15,19,14,12,16,31,6,3,3,24,26,25,8,13,23,13,19,9,4,6,3,9,1,0,6,4,8,0,1,1,10,0,33,13,17,10,109,64,13,28,31,63,81,61,15,17,33,51,15,14,62,36,15,23,38,67,44,47,20,3,19,6,28,35,137,3,33,6,2,0,0,0,0,0,14,4,6,1,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0
8,62,0,0,32,22,1,1,19,78,26,41,14,5,24,27,7,8,13,13,2,11,5,3,6,1,5,1,4,0,0,0,0,0,0,3,0,1,0,0,1,0,6,10,14,2,0,3,0,4,1,5,7,8,6,20,9,34,11,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,11,0,2,2,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,4,0,0,0,0,0,0,10,0,0,1,9,5,14,30,8,11,4,5,4,1,1,0,2,1,48,32,41,3,38,33,0,24,30,0,3,0,1,0,0,0,0,0,0,1,1,0,1,23,1,0,1,0,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
10,58,18,0,25,6,0,1,23,14,14,21,12,6,10,10,8,13,12,10,14,8,7,30,6,7,5,2,9,1,1,4,0,22,0,40,15,7,1,10,12,0,2,19,12,1,0,6,0,7,9,11,44,19,5,6,15,44,9,2,28,22,19,15,14,10,14,40,18,1,44,5,17,6,185,7,27,13,1,0,3,2,1,0,32,2,12,2,7,23,3,0,0,1,0,8,2,1,2,0,0,0,0
11,15,0,0,10,0,0,0,0,2,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,12,1,0,0,8,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,30,1,13,14,17,0,0,13,5,17,6,8,1,7,1,6,14,8,8,0,5,0,20,0,3,0,0,0,0,0,0,0,0,0,79,5,5,0,9,0,0,0,4,4,0,0,0,0,4,14,6,2,13,2,2,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
