id,A01,A02,A03,A04,A05,A06,A08,B01,B02,B03,B04,B05,B06,B07,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D01,D02,D03,D04,D05,D06,D07,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,G01,G02,G03,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,J01,J02,J03,L00,L01,L02,L03,L04,L05,L06,L07,M01,
1,57,58,0,51,26,0,2,8,46,33,51,16,83,50,27,19,23,8,31,22,31,23,28,14,8,21,43,45,52,10,30,17,11,33,43,23,2,6,8,21,0,26,44,45,1,98,66,55,121,28,71,87,75,31,54,18,46,49,33,50,44,65,12,50,11,31,84,30,14,18,3,17,29,192,8,38,27,8,0,1,0,0,5,17,2,8,9,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0
2,72,56,23,83,65,1,2,31,71,49,24,22,1,21,15,18,13,1,51,24,28,18,58,11,24,20,0,2,0,4,0,0,0,2,94,61,7,31,41,13,0,11,22,17,6,2,9,0,11,5,50,110,28,53,35,17,51,56,17,82,17,45,37,16,25,26,92,34,25,19,3,76,5,114,1,36,17,6,0,1,0,2,15,43,4,20,6,39,21,1,0,0,0,0,0,0,0,0,0,0,0,0
3,50,0,34,133,9,0,1,32,34,43,26,35,4,42,2,9,11,2,11,8,10,1,12,2,4,16,2,2,1,0,0,0,0,0,79,89,30,10,49,11,0,9,26,9,0,0,1,0,35,1,23,71,19,23,15,34,53,28,9,12,13,16,4,19,10,1,27,20,0,0,3,7,1,38,0,10,2,1,0,0,0,0,1,2,0,1,2,5,15,0,1,0,0,0,0,0,0,0,0,0,0,0
4,77,65,16,99,154,0,7,23,32,61,35,8,10,6,3,4,1,1,31,13,21,6,12,4,1,3,0,2,1,1,0,0,0,0,0,19,36,64,9,9,0,4,14,25,4,12,43,0,16,0,30,53,34,5,20,30,11,4,0,0,0,2,0,0,0,0,9,14,0,1,0,0,0,12,0,5,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,63,92,9,67,75,9,0,22,31,22,35,21,62,31,8,13,1,2,38,19,19,4,18,12,3,15,0,0,0,2,0,0,4,0,24,3,3,5,14,7,0,29,85,25,9,118,102,83,129,77,108,150,77,31,37,32,77,75,0,1,1,1,0,0,2,2,9,7,0,0,0,0,0,20,0,21,8,0,0,0,0,0,2,1,0,4,0,5,2,4,1,0,0,0,0,0,0,0,0,0,3,0
6,70,12,0,83,21,3,2,22,39,41,36,25,1,34,17,26,13,6,53,53,10,14,45,2,13,9,3,0,1,0,0,0,0,1,15,0,0,1,7,2,0,8,14,32,0,2,0,4,7,0,23,34,13,43,20,20,46,69,31,61,32,57,46,23,35,13,111,30,14,55,34,1,15,333,10,46,52,2,0,4,4,2,3,36,18,11,23,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0
7,65,82,6,52,36,0,0,18,19,19,27,11,14,25,45,5,1,2,26,28,16,15,18,32,9,24,3,16,9,6,10,7,0,18,5,18,1,1,0,10,0,55,17,22,27,135,76,33,44,36,75,91,70,26,38,39,43,28,37,123,107,77,61,89,124,68,130,36,12,53,32,56,69,367,7,128,13,12,0,0,1,0,7,14,4,12,4,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0
8,68,1,0,41,12,0,0,26,82,23,29,18,5,23,22,4,11,10,20,4,14,9,2,6,1,6,0,3,0,2,0,0,0,1,8,0,4,0,1,1,0,7,5,18,0,1,3,0,4,0,14,11,21,9,25,9,53,26,0,1,0,0,2,1,0,2,1,2,0,0,0,0,0,22,0,11,12,0,0,0,0,0,0,1,1,5,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9,12,6,0,1,1,0,0,0,13,1,0,2,5,9,22,33,14,14,2,16,4,2,0,0,0,7,65,60,62,1,80,57,1,58,59,1,2,0,2,1,0,0,1,0,1,15,0,7,4,33,2,3,3,1,1,1,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64,18,0,36,11,0,0,23,30,19,13,14,11,13,12,15,13,15,8,18,10,25,29,12,7,11,3,7,0,0,2,0,21,0,62,26,14,1,15,21,0,1,22,34,0,5,7,1,15,11,19,56,15,8,8,21,69,20,5,43,38,33,35,36,23,12,64,27,10,84,19,43,20,376,19,47,31,4,0,1,10,0,2,30,5,12,2,17,24,0,0,0,0,0,0,0,0,0,0,0,1,0
