node,community
1,1
10,1
100,9
101,5
102,5
103,6
104,5
105,8
106,7
107,9
108,3
109,7
11,3
110,3
111,2
112,6
113,3
114,7
115,6
116,5
12,2
13,4
14,4
15,4
16,5
17,4
18,1
19,1
2,1
20,1
21,2
22,2
23,4
24,6
25,1
26,1
27,3
28,2
29,1
3,1
30,3
31,4
32,4
33,2
34,6
35,4
36,1
37,5
38,7
39,5
4,1
40,6
41,1
42,1
43,2
44,1
45,3
46,5
47,5
48,5
49,2
5,1
50,6
51,5
52,3
53,5
54,4
55,3
56,4
57,2
58,3
59,5
6,1
60,6
61,4
62,9
63,5
64,8
65,5
66,3
67,5
68,5
69,5
7,1
70,3
71,2
72,6
73,5
74,9
75,5
76,6
77,9
78,3
79,9
8,2
80,5
81,0
82,3
83,3
84,2
85,3
86,5
87,0
88,2
89,9
9,2
90,5
91,3
92,6
93,8
94,8
95,0
96,7
97,3
98,9
99,2
