node,community
1,1
10,1
100,9
101,7
102,7
103,8
104,7
105,7
106,7
107,9
108,6
109,4
11,4
110,4
111,3
112,8
113,4
114,3
115,8
116,7
12,5
13,6
14,6
15,6
16,7
17,7
18,2
19,2
2,1
20,2
21,3
22,5
23,6
24,8
25,6
26,2
27,5
28,2
29,2
3,2
30,5
31,7
32,6
33,3
34,8
35,6
36,2
37,7
38,4
39,6
4,1
40,7
41,2
42,2
43,5
44,2
45,5
46,6
47,7
48,7
49,7
5,1
50,5
51,6
52,4
53,7
54,6
55,4
56,6
57,3
58,5
59,6
6,1
60,5
61,6
62,9
63,6
64,7
65,6
66,5
67,7
68,7
69,5
7,1
70,5
71,5
72,8
73,7
74,9
75,6
76,8
77,7
78,4
79,7
8,2
80,6
81,9
82,4
83,4
84,3
85,4
86,6
87,9
88,5
89,9
9,3
90,6
91,7
92,8
93,7
94,7
95,9
96,4
97,4
98,9
99,5
