communityOder2,community,type,count,stage,communityOder
1,C1_1,COM,13,a,1
1,C1_1,ENG,5,a,1
1,C1_1,NOR,0,a,1
1,C1_1,AGR,0,a,1
1,C1_1,FIN,0,a,1
1,C1_1,MED,0,a,1
1,C1_1,LAN,0,a,1
1,C1_1,LAW,0,a,1
2,C1_2,COM,8,a,2
2,C1_2,ENG,0,a,2
2,C1_2,NOR,1,a,2
2,C1_2,AGR,6,a,2
2,C1_2,FIN,0,a,2
2,C1_2,MED,0,a,2
2,C1_2,LAN,0,a,2
2,C1_2,LAW,0,a,2
3,C1_3,COM,5,a,3
3,C1_3,ENG,2,a,3
3,C1_3,NOR,11,a,3
3,C1_3,AGR,0,a,3
3,C1_3,FIN,0,a,3
3,C1_3,MED,0,a,3
3,C1_3,LAN,0,a,3
3,C1_3,LAW,0,a,3
4,C1_4,COM,2,a,4
4,C1_4,ENG,9,a,4
4,C1_4,NOR,0,a,4
4,C1_4,AGR,0,a,4
4,C1_4,FIN,0,a,4
4,C1_4,MED,0,a,4
4,C1_4,LAN,0,a,4
4,C1_4,LAW,0,a,4
5,C1_5,COM,2,a,5
5,C1_5,ENG,21,a,5
5,C1_5,NOR,0,a,5
5,C1_5,AGR,0,a,5
5,C1_5,FIN,0,a,5
5,C1_5,MED,0,a,5
5,C1_5,LAN,0,a,5
5,C1_5,LAW,0,a,5
6,C1_6,COM,2,a,6
6,C1_6,ENG,0,a,6
6,C1_6,NOR,0,a,6
6,C1_6,AGR,0,a,6
6,C1_6,FIN,0,a,6
6,C1_6,MED,9,a,6
6,C1_6,LAN,0,a,6
6,C1_6,LAW,0,a,6
7,C1_7,COM,1,a,7
7,C1_7,ENG,1,a,7
7,C1_7,NOR,2,a,7
7,C1_7,AGR,1,a,7
7,C1_7,FIN,0,a,7
7,C1_7,MED,0,a,7
7,C1_7,LAN,0,a,7
7,C1_7,LAW,0,a,7
8,C1_8,COM,0,a,8
8,C1_8,ENG,4,a,8
8,C1_8,NOR,0,a,8
8,C1_8,AGR,0,a,8
8,C1_8,FIN,0,a,8
8,C1_8,MED,0,a,8
8,C1_8,LAN,0,a,8
8,C1_8,LAW,0,a,8
9,C1_9,COM,1,a,9
9,C1_9,ENG,0,a,9
9,C1_9,NOR,1,a,9
9,C1_9,AGR,0,a,9
9,C1_9,FIN,5,a,9
9,C1_9,MED,0,a,9
9,C1_9,LAN,1,a,9
9,C1_9,LAW,0,a,9
1,C2_1,COM,11,b,10
1,C2_1,ENG,6,b,10
1,C2_1,NOR,0,b,10
1,C2_1,AGR,0,b,10
1,C2_1,FIN,0,b,10
1,C2_1,MED,0,b,10
1,C2_1,LAN,0,b,10
1,C2_1,LAW,0,b,10
2,C2_2,COM,5,b,11
2,C2_2,ENG,0,b,11
2,C2_2,NOR,2,b,11
2,C2_2,AGR,0,b,11
2,C2_2,FIN,0,b,11
2,C2_2,MED,0,b,11
2,C2_2,LAN,0,b,11
2,C2_2,LAW,0,b,11
3,C2_3,COM,6,b,12
3,C2_3,ENG,8,b,12
3,C2_3,NOR,0,b,12
3,C2_3,AGR,0,b,12
3,C2_3,FIN,0,b,12
3,C2_3,MED,0,b,12
3,C2_3,LAN,0,b,12
3,C2_3,LAW,0,b,12
4,C2_4,COM,0,b,13
4,C2_4,ENG,0,b,13
4,C2_4,NOR,0,b,13
4,C2_4,AGR,5,b,13
4,C2_4,FIN,0,b,13
4,C2_4,MED,0,b,13
4,C2_4,LAN,0,b,13
4,C2_4,LAW,0,b,13
5,C2_5,COM,1,b,14
5,C2_5,ENG,0,b,14
5,C2_5,NOR,0,b,14
5,C2_5,AGR,0,b,14
5,C2_5,FIN,5,b,14
5,C2_5,MED,0,b,14
5,C2_5,LAN,1,b,14
5,C2_5,LAW,1,b,14
6,C2_6,COM,4,b,15
6,C2_6,ENG,0,b,15
6,C2_6,NOR,4,b,15
6,C2_6,AGR,1,b,15
6,C2_6,FIN,0,b,15
6,C2_6,MED,0,b,15
6,C2_6,LAN,1,b,15
6,C2_6,LAW,0,b,15
7,C2_7,COM,3,b,16
7,C2_7,ENG,22,b,16
